titulo_puesto,empresa,descripcion_puesto,modalidad,salario,localidad,fecha_posteo,nivel_de_experiencia,tipo_empleo,pais
Analista de Dados Jr,GRUPO SEB,Nan,onsite,0,Brazil,2023-02-21,0,0,Brazil
Ingeniero de Datos,Fundación Cardiovascular de Colombia,Nan,onsite,0,Colombia,2023-02-17,0,0,Colombia
Ingeniero de Datos - Trabajo Remoto,BairesDev,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Ingeniero de Datos en BairesDevEstamos buscando un Ingeniero de Datos para unirse a nuestro equipo de Desarrollo y participar en diferentes proyectos formados por equipos multiculturales distribuidos por todo el mundo.Actividades Principales Entrevistar a otros Data Scientists e Ingenieros de Datos para evaluar sus habilidades técnicas. Introducir los datos de esas entrevistas en el producto y ayudar a desarrollar una solución predictiva, justa y agradable. Trabajar junto con desarrolladores, líderes tecnológicos y arquitectos de soluciones para crear aplicaciones. Mejore las estructuras existentes, añadiendo nuevas funcionalidades o proponiendo actualizaciones tecnológicas para que, como resultado, el impacto de su contribución sea significativo en el núcleo de cada negocio. Mejorar la experiencia de usuario sobre plataformas escalables y de alta disponibilidad, contribuyendo al diferencial clave de cada negocio.¿Qué Buscamos?: 5+ años de experiencia trabajando como desarrollador. 3+ años de experiencia trabajando como Data Scientist / Data Engineer. Competente en análisis, resolución de problemas y resolución de problemas. Experiencia práctica en la gestión de cargas de datos y calidad de datos. Nivel avanzado de inglés.¿Cómo haremos la vida y el trabajo más fácil? Trabajo 100% remoto. Configuración de hardware para trabajar desde casa. Horario flexible. Licencias por paternidad y maternidad, vacaciones y feriados pagados. Ambiente laboral diversificado y multicultural. Un entorno innovador con la estructura y los recursos de una multinacional líder. Excelente remuneración - por encima de la media del mercado y tus expectativas. Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",onsite,0,Mexico,2023-03-04,Sin experiencia,Fulltime,Mexico
Ingeniero de Datos,Fundación Cardiovascular de Colombia,"La FCV requiere para su planta de personal Ingeniero de sistemas y/o afines o estudiante de último semestre en ingeniería de sistemas o afines con Mínimo de 6 meses de experiencia en manejo de bases de datos, proceso de ETL.Misión: Desarrollar, construir, probar y mantener modelos y arquitecturas de datos alineados con los requerimientos delnegocio, para que estos sean consumibles, utilizables y den valor a la Institución apoyando la toma de decisiones.",onsite,0,Colombia,2023-03-01,Sin experiencia,Fulltime,Colombia
Data Engineer,Capgemini,Nan,onsite,0,Mexico,2023-03-28,0,0,Mexico
Analista de Dados - Soluções de Investimentos,Itaú Unibanco,"Venha fazer parte do time de Analytics dentro da comunidade de soluções de investimentos do maior banco da América Latina.Trabalhamos no modelo Agile, onde equipes multidisciplinares constroem soluções centradas nas necessidades dos nossos clientes.Atuamos em diversos projetos agregando e fomentando a cultura de dados nas decisões tomadas diariamente.Responsabilidades e atribuiçõesMapeamento de tagueamentos em jornadas digitais de investimentos;Criação de documentação de tagueamento;Homologação de disparo dos tagueamentos;Criação de dashboards das interações nos canais digitais.Requisitos e qualificaçõesCompetências: Atitude de dono , Capacidade analítica , Colaboração , Comunicação escrita , Comunicação verbal , Indignação construtiva , Motivação em aprender coisas novas , Organização , Proatividade , Raciocínio Lógico e Trabalho em equipeTecnologia: Google Analytics e Data StudioDiferencial: Testes AB, SQL , Python e TableauInformações adicionaisEstamos em constante transformação e esperamos que você nos ajude nessa jornada!Se identificou? Quer fazer parte do nosso time? Inscreva-se no nossa oportunidade.#vemproItaúO Itaú irá utilizar os dados fornecidos para fins de processos seletivos, inclusive em bancos de vagas alocados em plataformas terceiras. Caso deseje solicitar oposição a este uso, ou exercer quaisquer um dos seus direitos, entre em contato através de nossos canais, disponíveis na Política de Privacidade de candidatos do Itaú Unibanco (https://www.itau.com.br/privacidade/candidatos/). Não há necessidade de aceitar, trata-se apenas de uma ciência.",onsite,0,Brazil,2023-03-01,0,Fulltime,Brazil
Talento B - Ingeniería de Datos,Bancolombia,"📍 Convocatoria abierta para Medellín, Bogotá, Barranquilla y Cali.En Bancolombia creemos en el talento joven y la transformación de la sociedad a través del aprendizaje y las oportunidades. Por eso, Talento B es un programa donde formamos apasionados por la ingeniería de datos, mediante la participación en proyectos y retos reales de la organización 🚀.A través de la analítica creamos capacidades utilizando los datos y tecnologías de la información que permiten la toma de decisiones y el desarrollo de nuevos productos o servicios que entiendan las necesidades de nuestros clientes y usuarios, promoviendo así el desarrollo sostenible para lograr el bienestar 🌍Si te conectas con este propósito, aquí te contamos más:¿Cuál será tu reto? 🤩Como Talento B tendrás la oportunidad de aportar tus ideas y conocimientos en soluciones a necesidades de las personas, inspirar a otros y a la vez, fortalecerás tus habilidades a través del acompañamiento de expertos. Extraerás, transformarás, conocerás y desplegarás datos.  Automatizarás datos.  No te preocupes… no estarás solo en este reto, contarás con el acompañamiento de tu mentor y cursos para fortalecer estos conocimientos. ¿Qué te hará exitoso/a en el programa? 🤟Indispensables: 👉 Pasión y curiosidad por la analítica.  Buscamos que tus ganas de aprender o tu carrera te hayan dado unos conocimientos base en: lógica de programación en Java o Phyton, conocimientos básicos en machine learning y estadística.  No es necesario que cuentes con experiencia laboral, pero pilas, debes ser mayor de edad, vivir en Medellín, Bogotá, Barranquilla y Cali, y si ya has empezado tu vida laboral, esta no debe superar los 2 años.  Tu formación académica o los cursos que has realizado estén relacionados con: estadística, ingeniería de sistemas, ingenierías, matemáticas o economía. Ideales: ⭐ Conocimientos base en otros lenguajes de programación. ¿Qué te ofrecemos? Al año recibirás 14,12 salarios legales y 4,28 salarios extralegales garantizados.  Contratación a término definido por 6 meses con posibilidad de prórroga.  Jornada medio tiempo.  Exenciones bancarias.  Convenios comerciales, educativos, culturales, deportivos ¡y muchos más!  Acceso a cursos relacionados con analítica en plataformas virtuales, para que sigas fortaleciendo tus conocimientos y des lo mejor de ti en la solución del reto.  El acompañamiento de un experto en temas de analítica, para que te asesore en temas del reto y acompañe tu desarrollo personal.  Flexibilidad horaria.  Oportunidad para que pongas a prueba todos tus conocimientos, conozcas el mundo laboral y si das todo de ti te puedas quedar con nosotros en uno de nuestros cargos.  Haz clic en aplicar súmate a nuestro propósito y aportaremos juntos al bienestar. ¡Anímate a participar! 🚀",onsite,0,Colombia,2023-03-28,Sin experiencia,Fulltime,Colombia
Ingeniero de datos JR,axity,"Company Description: Axity Job Description: Ingeniero de datos JR Axity, Somos una compañía con más de 35 años de trayectoria nuestro portafolio de servicios es uno de los más grandes en la industria: Estrategia Digital, Desarrollo de Software, Bussiness Intelligence, Big Data, Analítica Avanzada, Seguridad, IOT. Estamos buscando un perfil Data Engineer junior que sepa programación en Python y que quiera comenzar a desarrollarse en el área de data science. El candidato ideal debe tener una formación en ciencias de la computación o informática, así como experiencia práctica con herramientas de análisis de datos, python y bases de datos relacionales. Será responsable del desarrollo y mantenimiento de soluciones para el procesamiento, almacenamiento y análisis de datos. Las responsabilidades incluyen:Diseñar e implementar soluciones para el procesamiento, almacenamiento y análisis de datos.Desarrollar scripts para automatizar tareas relacionadas con el procesamiento y análisis de datos.Trabajar con equipos internos para comprender los requisitos del negocio y diseñar soluciones adecuadas.Realizar pruebas unitarias y validaciones para garantizar la calidad del código desarrollado.Documentar todos los procesos relacionados con el trabajo realizado. Requisitos:Licenciatura en Ciencias de la Computación, Ingeniería informática o un campo relacionadoExperiencia práctica con herramientas de análisis de datos (por ejemplo, Python, R).Conocimientos en programación en PythonConocimiento profundo sobre bases de datos relacionales (por ejemplo, PostgreSql).Conocimiento sobre bases de datos No relacionales (por ejemplo, MongoDb)Excelentes habilidades analíticas y de resolución de problemas Se ofreceContrato a plazo fijo 2 meses y continuidad indefinida (beneficios asociados) Modalidad de trabajo hibrida.",onsite,0,Chile,2023-02-03,Intermedio,Fulltime,Chile
Analytics Engineer Jr,Tabas,"At Tabas, we want to reshape the global real estate and rental market. We believe innovation is no more about marketplaces. It is about tech-enabled business models that provide end-to-end control over the customer experience, with a full-stack approach.Through tech-enabled operational efficiency and a strong focus on customer needs, we rent, renovate, and provide beautifully-designed and fully-furnished apartments to serve final customers, corporates and professionals, with all the flexibility they need. Because nothing is like home!We are looking for a (Junior) Analytics Engineer who will become part of the Data Engineering and Analytics Team. We are result-oriented and have a broad knowledge of modern tech stacks (DBT, Google Composer, Airflow, Kubernetes, Python, SQL, ETL/ELT).Responsabilidades e atribuiçõesDefine business logic in our Data Warehouse and Google Data Studio (Looker)Evaluate business needs and goals and how company data relates to themHave knowledge about analytical tools integrated with data pipelinesHelp stakeholders in their decision making process by providing them quality data and dashboard with good storytelling skillsTake responsibility for your products, be proactive to develop yourself personally and professionallyRequisitos e qualificaçõesAt least one year of working experience in the Data Field (Data Analyst, Analytics Engineer, Data Engineer)Relevant experience with data language SQL (Python is a plus)Familiarity with Google Data Studio (Looker) or other data visualization toolFamiliarity with Docker, Cloud, Airflow and ETL/ELT processes are a plusStrong logical, analytical and data storytelling skillsAbility to balance attention to detail with swift executionTeam player, intellectually curious and self motivatedInformações adicionaisMeal/Food voucher: Caju card of R$33.00 per day (no payroll discount);Transportation voucher based on your route to the office (with 3% discount);Health Care Amil - We offer 3 options plans and you can choose which one fits better with your needs (with co-participation);Dental Plan Amil (without co-participation);Daycare allowance for employees with children up to 5 years old;For your Physical Health, we have TotalPass, our gym benefit;For your Emotional Health, we have the Moodar platform;Partnership with Hyper English (Cultura Inglesa) for an English course;Flexible Holidays (from 6 months onwards you are entitled to proportional holidays);25% discount when using Tabas apartments;Once a month we have a celebration the Taber's Birthdays;Birthday Day Off + gift card paid on the Caju card, to make your day even special;Our workplace has a cinema room, spaces for decompression and an equipped kitchen;In the condominium we have a Ifood Box, Full Kitchen and Lunch Room.",onsite,0,Brazil,2023-03-17,0,Fulltime,Brazil
Software Engineer,LinkedIn,"The ideal candidate will help build, maintain, and troubleshoot, the company's rapidly expanding infrastructure. They will work alongside other engineers to ensure highest levels of performance and ability, and manage any problems that arise.   ResponsibilitiesManage and monitor installed systems Test and maintain operation systems Monitor application performanceQualificationsBachelor's degree in Computer Science or related field Experience in configuring, monitoring and troubleshooting systems Strong scripting and technical skills",onsite,0,Brazil,2023-03-24,Diretor,Fulltime,Brazil
Analista de Dados Pleno,Daki,"A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!Mais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.E tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.De quem precisamosNós estamos procurando Data Analyst para se juntar à nossa crescente equipe de Data and Analytics (D&A). Sua função é incorporar análise de dados e inteligência de negócios em uma ou mais funções de negócios. Você trabalhará com as partes interessadas de negócios para traduzir as necessidades deles em requisitos de dados, criar roteiros para entregas, criar KPIs, painéis, análises, alertas e outros produtos de dados.Data & Analytics TeamA equipe de Data & Analytics é uma equipe multidisciplinar de engenheiros de dados, analistas e cientistas que lideram a estratégia geral de dados e análises da Daki. Desenvolvemos continuamente novos serviços de dados, APIs, análises, relatórios, ferramentas e outros produtos de dados. Além de construir e manter serviços de dados, também atuamos como treinadores e consultores em toda a organização. Cada membro da equipe traz algo único para a mesa e, em combinação com uma forte liderança técnica e comercial, você trabalhará em uma equipe preparada para o sucesso. Nossa ambição é nada menos do que construir a melhor organização de dados e análises no setor de varejo.Responsabilidades e atribuiçõesTrabalhar com partes interessadas de negócios para criar um roteiro de análise de dados e inteligência de negócios,Trabalhe com grandes quantidades de dados de dezenas de fontesDefinir KPIs para medir o desempenho operacional e apoiar a tomada de decisão diáriaCrie relatórios e alertas padrão e em tempo real, análises de negócios e casosEntenda a dinâmica por trás dos dados e traduzir a história do usuário por trás dos pontos de dadosTrabalhe com Data Engineering e Data Science em projetos multifuncionais onde você traz sua área de especializaçãoPromova e habilite nossos recursos de autoatendimento, permita que “analistas de dados cidadãos” promovam uma cultura de dadosCrie modelos de dados e tabelas para nossa plataforma de dados e análisesTrabalhe com uma data stack moderna (Looker, Snowflake, Stitch, Rockset, PubSub, Superset, Airflow, Python)Requisitos e qualificaçõesTeam playerMais de 2 anos de experiência relevante em um ambiente de alto crescimentoBons conhecimentos de SQL, visualização de dados e ferramentas de BIÓtimas habilidades de comunicação e gerenciamento de tempoAnálise de dados com Python é uma vantagem (pandas, numpy, jupyter notebooks)Conhecimento dos conceitos de Modelagem de Dados e Data Warehousing é um diferencialUma atitude pró-ativa, com vontade de questionar o status quoInglês - Diferencial Informações adicionaisEstamos em crescimento: Nossa forma de trabalho é hibrido, permitindo que o Dakier atue de forma remota e presencial;Somos Modernos: por meio de um cartão de crédito da bandeira Mastercard, você recebe o vale refeição. Dando mais liberdade ao Dakier de como utilizar;Transporte: realizamos o deposito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;Saúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e odontológica;Mimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.",onsite,0,Brazil,2023-04-12,0,Fulltime,Brazil
Analista de Datos,Provincia ART,"En Provincia ART nos encontramos en la búsqueda de un Analista de Datos para formar parte de la Gerencia de Análisis y Control de Gestión.Su principal objetivo es proporcionar información de alto valor mediante el armado de tableros de control y desarrollo de visualizaciones para seguimiento de los principales KPI de la compañía.Algunos de sus desafíos serán Realizar el relevamiento de procesos, comprensión de las principales variables del negocio, identificación de indicadores clave. Realizar análisis de tendencias, anomalías y desvíos para poder comunicarlos.Manejar grandes volúmenes de datos (Extracción, revisión, análisis y normalización de datos). Transformar y normalizar los datos para disponibilizarlos a través de visualizaciones utilizando QlikSense, QlikView y otras plataformas de ETL Interactuar con clientes a los findes de comprender los requisitos técnicos, conocer el trabajo de otros y ofrecer una solución de manera rápida y ágil RequisitosPara poder tener el rol, necesitamos que cuentes con Estudios universitarios en curso o graduado en Administración de Empresas, Ingeniería Industrial, Ingeniería en Sistemas, Finanzas, Ciencias Actuariales, o afinesExperiencia de 2 años o más en puestos similares en área de Control de Gestión, Consultoría y/o Auditoria de empresas de Seguros, ART, Medicina Prepaga, Bancos o FinancierasConocimiento en Qlikview y QlikSense.Conocimiento de herramientas o lenguajes de transformación de datos como SQL y R.Amplio dominio de la herramienta M. Excel Beneficios💲 Bono anual de hasta un sueldo, proporcional fecha de ingreso y cumplimiento de objetivos👨‍👩‍👧‍👦 Licencias extendidas (casamiento, paternidad)🎉 Día de cumpleaños libre.🎁 Obsequios Caja navideña, día del seguro, Kit universitario, nacimiento, kit escolar, día de las infancias, día de la primavera, graduados universitarios, etc.💜 Reintegro por jardín maternal/guardería o cuidado de menores (hasta los 5 años de edad inclusive)👩‍🏫 Plataforma de asesoramiento legal, financiero, psicológico y nutricional.🏖 Flex summer (algunos viernes de verano, mitad de jornada)📝 Aprendizaje y formación Descuento en universidades privadas, Ayuda para posgrado o especializaciones, y clases de idiomas.👩‍🔬 Salud vacunación antigripal, Reintegro de medicamentos para enfermedades crónicas/prolongadas, reintegros por hijos con discapacidad, enfermedad crónica o trastorno de aprendizaje, otros.💰 Descuentos Descuentos en gimnasios de la red Megatlon y Sportclub, en Productos del Banco Provincia de Buenos Aires (BPBA), Club de beneficios, descuentos en marcas y comercios.Provincia ART es la aseguradora de riesgos del trabajo de Grupo Provincia, primera en cápitas a nivel país y presente en el mercado desde el inicio del Sistema de Riesgos del Trabajo. Reconocida por su experiencia y labor en materia de prevención, hoy cuida a más de 2.4 millones de trabajadores y trabajadoras de casi 112 mil empresas grandes, medias y pequeñas y organismos públicos e instituciones.",onsite,0,Argentina,2023-02-19,Intermedio,Fulltime,Argentina
Data Engineer,Enroute,"Enroute is about being exceptional. We deliver IT services and solutions by tech-savvy problem solvers, constantly looking for innovative approaches to everyday problems. Enrouters have unique ideologies, principles, and incredible life stories. Everyone is welcome at Enroute.We take pride in our culture. We want every Enrouter to enjoy working with us and become part of a great community of highly driven, responsible, respectful, and happy people. We offer outstanding benefits, compensation, flexible schedules, and policies that balance work and personal life. We strive to be involved and know our people to improve continuously.As a Data Engineer you will be involved in the design, creation, maintenance, and use of Data Warehouses.You will be deeply involved in data flow: data extraction from different sources, data analysis to find trends and anomalies, data load into different destinations, data transformations, data validations, data enrichment, and reporting capabilities.RequirementsStrong written and verbal communication skills (Spanish and English)Data warehousing principles and implementation (5+ years)Excellent SQL (5+ years)Strong ETL and ELT experience (5+ years)Good data analysis skills (2+ years)Good Report design experience. (2+ years)Basic git knowledge and experience (1+ years)AWSDockerSnowflakeNice to have:Data Factory or SSIS (1+years)PythonSparkPreferred Tools (not required):Databases: Snowflake or SQL ServerETL: Informatica Cloud Services, Airflow or NiFiReporting: Cognos or PowerBIAlternatives tools for:Databases: Oracle, MySQL, or any other relational databaseETL: Informatica on-premise, SSIS, or any other ETL toolReporting: Tableau, Pentaho, SSRS, or any other reporting toolSource control: GitLab, GitHub, Bitbucket, or any different git flavorResponsibilitiesBreakdown user requirements into tasksDesign data warehouse solutions to support data analytics and reportingDevelop and implement ETL and ELT processesCreation of stored procedures for data transformationsDesign and creation of reports and dashboardsCreate, automate, and maintain data pipelines.Build robust data processing pipelines using AWS Services and integrate with multiple data sources.Experience extracting, transforming, and loading large data sets from various data sources using Spark.Writing SQL queries and other types of data requests in the context of massive data sets.Translate data needs into detailed functional and technical designs for development, testing, and implementationBenefitsMonetary compensationYear-end BonusIMSS, AFORE, INFONAVITMajor Medical Expenses InsuranceMinor Medical Expenses InsuranceLife InsuranceFuneral Expenses InsurancePreferential rates for car insuranceTDU MembershipHolidays and VacationsSick daysBereavement daysCivil Marriage daysMaternity & Paternity leaveEnglish, Japanese, and Spanish classesPerformance Management FrameworkCertificationsTALISIS Agreement: Discounts at ADVENIO, Harmon Hall, U-ERRE, UNIDTaquitos RewardsAmazon Gift Card on your BirthdayWork-from-home BonusLaptop PolicyEqual employmentEnroute is committed to providing equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",onsite,0,Mexico,2023-02-19,Intermedio,Fulltime,Mexico
Banco de Talentos | Analista de Dados Freelancers,Porsche Cup Brasil,"O profissional Freelancer atuará diretamente em nossos eventos, com atividades de Análise de dados em nossas corridas.Buscamos um perfil apaixonado por automobilismo, comprometido, bom relacionamento, focado em resultados e que goste de desafios.Se você é esse profissional, então, venha fazer parte do nosso time!Responsabilidades e atribuiçõesPreenchimento e acompanhamento das atividades descritas em check list;Checagem de dados vitais dos veículos;Análise de dados de performance dos pilotos;Orientação da equipe para ajustes técnicos em suspensão, aerodinâmica e calibração de pneus;Organização do BOX e equipe.Requisitos e qualificaçõesFormação: Cursando Ensino Superior em Engenharia;Desejável Curso em Análise de Dados Automotivos;Habilidades em software de análise de dados - Desejáveis: Cosworth PI Toolbox - ToolsetInformações adicionaisDisponibilidade para viagens.",onsite,0,Brazil,2023-01-19,0,Fulltime,Brazil
Junior Data Engineer,Multiplica Talent,"¿Quiénes somos?¡Multiplica Talent, te está buscando!Somos una consultora especializada en ofrecer las mejores oportunidades laborales al mejor talento digital del mercado.Tenemos 20 años de experiencia reclutando a personas capacitadas, innovadoras y con ganas de crecer para nuestros clientes.Actualmente colaboramos con empresas en LATAM, USA y Europa y contamos con talentos que trabajan presencialmente y/o remoto en diferentes partes del mundo.Nuestros talentos son los agentes de cambio que están creando las organizaciones del futuro. ¡Sé parte de este cambio!Misión del rol Integrar datos provenientes de diversas fuentes y formatos en el tiempo y forma requeridos, los cuales habiliten a las áreas de negocio, data science, data insights para la construcción de modelos de datos, análisis, reportes, dashboards y modelos de IA, para las áreas transversales de Negocios Digitales.Analizar las fuentes de datos en bruto y los requisitos de transformación de datos y realizar el modelado de datos con respecto a grandes conjuntos de datos para lograr la máxima eficiencia.Responsabilidades:Mantener, adaptar, desarrollar y desplegar para flujos de datos en la ingesta, limpieza y transformación de los datos crudos, con las herramientas de la arquitectura de datosMejorar los flujos de datos entre las herramientas para que alimenten los modelos de datos requeridos para los análisis del negocio.Colaborar y contribuir en el desarrollo de los procesos de control y métricas de calidad de los datos en los flujos, para asegurar que los datos usados en los modelos son confiables, íntegros y están completos en la arquitectura de datos, bajo los estándares de AE y Gobierno de Datos.Diseñar, desarrollar y mantener los modelos de datos que habiliten y se adapten a las necesidades o requerimientos de información de las distintas áreas, para los análisis de cada una de ellas, bajo los estándares de AE y Gobierno de Datos.Monitorear, supervisar y evaluar el desempeño del data warehouse y/o datalake con las herramientas disponibles en la arquitectura de datos, así como los patrones en los datosImplementar mejoras o modificaciones en los modelos de datos habilitados que aseguren la continuidad operativa, bajo los estándares y prácticas establecidas por AE y Gobierno de DatosDesarrollar y proponer arquitecturas / procesos / pipelines eficientes y óptimos para el tratamiento (extracción, integración, ingesta, consulta) de grandes volúmenes de datos (big data), bajo los estándares establecidos por el área de AE y las áreas de gobierno de datosAsegurar la continuidad de los productos de datos y analíticos y/o habiliten capacidades nuevas y diferenciales para construir y consolidar una cultura business data driven.Analizar y proponer soluciones técnicas para el almacenamiento de datos, las mejores prácticas y la supervisiónDocumentar los procesos de arquitecturas / procesos / pipelines de Datos.Asegurarse de que todos los procesos relevantes están en marcha y se siguenRequirementsExperiencia como ingeniero de datos o en un puesto similarExcelentes habilidades de programación, preferiblemente en Python.Marco de procesamiento de big data como SparkExperiencia con SQL y desarrollo de bases de datos relacionalesExperiencia con el modelado de datos, el almacenamiento de datos y la construcción de ETL PipelineExperiencia en diseño de bases de datos / almacenes de datosImplementación de reglas de Calidad de Datos / Data Quality ManagementModelado de datos basado en Dominios de Datos / Data Domain ModelingImplementación de reglas de Privacidad de Datos y Cumplimiento a regulación / Data Privacy & ComplianceDatabase & DWH designIntegración de datos (ETL, Replica, Data Streams)Manejo de APIs, web services (SOA)Manejo de datos estructurados, semi estructurados y no estructurados, y Graph Databases (Deseable)Comprender los informes de inteligencia empresarial: Looker, PowerBI, Tableau (Deseable)BenefitsBeneficios de ley y superiores.Días de vacaciones adicionales.Trabajo bajo objetivos y flexibilidad de horarioOportunidad de crecimiento¡Muchos más!",onsite,0,Mexico,2023-03-28,Algo de responsabilidad,Fulltime,Mexico
Engenheiro(a) de Dados,Vibra Energia,"Buscamos profissional para atuar como Engenheiro (a) de Dados na VIBRA Energia, construindo soluções em Data & Analytics junto a nossos times e clientes, seguindo as melhores práticas.Responsabilidades e atribuiçõesResponsável por definir e implementar a arquitetura da plataforma de dados.Construção de soluções técnicas de consumo, exploração, integração e entrega de dados.Requisitos e qualificações Sólida experiência em projetos de dados; Experiência com programação em Python; Proficiência em linguagem SQL; Familiaridade em ferramentas de ETL e pipeline de dados; Abordagem analítica e de resolução de problemas, identificando oportunidades de melhoria; Experiência prática em Azure Data Platform, usando alguns de seus componentes: Synapse Analytics, Data Factory, Data Flow, Data Lake, Databricks; Modelagem de Dados e Gerenciamento de Multiplas Bases de Dados; Garantir a disponibilidade, segurança e governança dos dados, através de padrões e processos definidos;Informações adicionaisDiferenciais:Conhecimento de Alteryx;Conhecimento em tableau;Conhecimento em SSIS.",onsite,0,Brazil,2023-02-18,0,Fulltime,Brazil
Data Engineer Jr / SSr / Sr,Consultora Gestal,"¿Queres dar el próximo paso en tu carrera como Ingeniero de datos?Buscamos perfiles entusiastas para sumarse una importante empresa de telecomunicaciones de Argentina, con foco en la experiencia de clientes y colaboradores.Objetivo De La PosiciónLos perfiles deben relevar, ingestar, modelar y disponibilizar informaciónStack Tecnológico DeseadoOrquestador Composer y Airflow como herramienta de ETL. Bigquery como motor de BBDD.Experiencia trabajando en Cloud, principalmente en GCP.Creación y mantenimiento de ETL. usando Python y SQL.Duración mínima del proyecto: 12 meses.Horairio de trabajo: Lunes a viernes de 9 a 18 hs.Modalidad de trabajo: Remoto.Si cumplís con los requisitos, ¡Postulate ahora! En caso de ser buen match, nuestro equipo se contactará con vos a la brevedad!",onsite,0,Argentina,2023-04-06,Intermedio,Fulltime,Argentina
Data Engineer (Python),DICSYS,"¡Súmate a la #ExperienciaDicsys como Data EngineerI! 🔍Nos especializamos en Business Analytics, Business Intelligence y Software Factory en toda Latinoamérica.En este momento nos encontramos en búsqueda de un Data Engineer SSR/SR para sumarse a nuestro team.👨‍💻 ¿Qué Skills nos interesan?Experiencia RequeridaLenguajes de Programación:Python Base de Datos:Microsoft SQL Server Business Intelligence:Data IntegrationOtras TecnologíasOrquestador Composer y Airflow como herramienta de ETL. Bigquery como motor de BBDD.Experiencia trabajando en Cloud, principalmente en GCP.Creación y mantenimiento de ETL. usando Python y SQL Tiempo Mínimo de Experiencia: 2 años📍 Argentina - 100% remoto🤝 Formando parte de nuestra #ExperienciaDicsys, disfrutarás:📚 Welcome Kit Dicsyano📲 Club Dicsys - Plataforma digital de Beneficios🤓 Programa Referidos con excelentes premios👩🏼‍💻 English In Company - Workshops❤️‍🩹 Cobertura Medicina Prepaga☀️ Día Dicsyano por semestre👶🏻 Compensación gastos de guardería y cuidado de menores hasta 3 años.🎒 Kit escolar💻 Compensación gastos de conectividad y serviciosy muchos más..... VIVI la Experiencia Dicsys 🚀",onsite,0,Argentina,2023-04-05,Sin experiencia,Fulltime,Argentina
